ID;ICAO;Name;Country;Active
1805;CLK;Clark Aviation;United States;N
1806;CSF;Clasair;United Kingdom;N
1807;CLY;Clay Lacy Aviation;United States;N
1808;CGK;Click Airways;Kyrgyzstan;Y
1809;CLZ;Cloud 9 Air Charters;South Africa;N
1810;CLD;Clowes Estates Limited;United Kingdom;N
1811;SDJ;Club 328;United Kingdom;N
1812;ISG;Club Air;Italy;N
1813;CST;Coast Air;Norway;N
1815;TCL;Coastal Air Transport;United States;N
1816;CNG;Coastal Airways;United States;N
1817;CSV;Coastal Travels;Tanzania;N
1818;CHL;Cohlmia Aviation;United States;N
1819;OLR;Colaereos;Ecuador;N
1820;CLE;Colemill Enterprises;United States;N
1821;CJC;Colgan Air;United States;Y
1822;CAE;Colibri Aviation;Canada;N
1823;CCX;Colt International;United States;N
1824;COL;Columbia Airlines;Canada;N
1825;WCO;Columbia Helicopters;United States;N
1826;KLR;Columbus Air Transport;United States;N
1827;GHP;Colvin Aviation;United States;N
1828;COM;Comair;United States;Y
1829;CAW;Comair;South Africa;Y
1830;CDE;Comed Group;United Kingdom;N
1831;CVV;Comeravia;Venezuela;N
1832;CRS;Comercial Aerea;Mexico;N
1833;CMG;Comet Airlines;Nigeria;N
1834;FYN;Comfort Air;Germany;N
1835;CLA;Comlux Aviation;Switzerland;N
1836;CMH;Commair Aviation;United Kingdom;N
1837;CTM;Commandement Du Transport Aerien Militaire Francais;France;N
1838;CML;Commander Air Charter;Canada;N
1839;CRM;Commander Mexicana;Mexico;N
1840;CMS;Commercial Aviation;Canada;N
1841;GAR;Commodore Aviation;Australia;N
1842;CJS;Commonwealth Jet Service;United States;N
1843;UCA;CommutAir;United States;Y
1844;CWK;Comores Airlines;Comoros;Y
1845;CGR;Compagnia Generale Ripreseaeree;Italy;N
1846;CMM;Compagnie Aerienne du Mali;Mali;N
1847;CPM;Compagnie Mauritanienne Des Transports;Mauritania;N
1848;GIC;Compagnie de Bauxites de Guinee;Guinea;N
1849;AIF;Compania Aerea de Valencia;Spain;N
1850;ATF;Compania Aerotecnicas Fotograficas;Spain;N
1851;ASU;Compania Boliviana de Transporte Aereo Privado Aerosur;ASUR;N
1852;LCT;Compania De Actividades Y Servicios De Aviacion;Spain;N
1853;EJV;Compania Ejecutiva;Mexico;N
1854;HSE;Compania Helicopteros Del Sureste;Spain;N
1855;MDR;Compania Mexicana De Aeroplanos;Mexico;N
1856;MXC;Compania Mexicargo;Mexico;N
1857;HSS;Compania Transportes Aereos Del Sur;Spain;N
1858;TAV;Compania de Servicios Aereos Tavisa;Spain;N
1859;CYF;Company Flight;Denmark;N
1860;CPZ;Compass Airlines;United States;Y
1861;CPS;Compass International Airways;United Kingdom;N
1862;XCO;Compuflight Operations Service;United States;N
1863;XCS;Compuserve Incorporated;United States;N
1864;CRC;Conair Aviation;Canada;N
1865;COD;Concordavia;Ukraine;N
1866;CNR;Condor Aero Services;United States;N
1867;CIB;Condor;Germany;N
1868;CFG;Condor Flugdienst;Germany;Y
1869;COF;Confort Air;Canada;N
1870;CAK;Congo Air;Bahamas;N
1871;CGA;Congressional Air;United States;N
1872;ROY;Conifair Aviation;Canada;N
1873;BSN;Connectair Charters;Canada;N
1874;CAC;Conquest Airlines;United States;N
1875;CXO;Conroe Aviation Services;United States;N
1876;CHP;Consorcio Aviaxsa;Mexico;Y
1877;VCH;Consorcio Helitec;Venezuela;N
1878;UZA;Constanta Airline;Ukraine;N
1879;KIS;Contact Air;Germany;Y
1880;XCL;Contel ASC;United States;N
1881;COA;Continental Airlines;United States;Y
1882;PVV;Continental Airways;Russia;N
1884;CMI;Continental Micronesia;United States;Y
1885;CON;Continental Oil;United States;N
1886;VCV;Conviasa;Venezuela;Y
1887;CKA;Cook Inlet Aviation;United States;N
1888;SVY;Cooper Aerial Surveys;United Kingdom;N
1889;CMP;Copa Airlines;Panama;Y
1890;CAT;Copenhagen Airtaxi;Denmark;N
1891;COP;Copper State Air Service;United States;N
1892;AAQ;Copterline;Finland;Y
1893;CCW;Coptrade Air Transport;Sudan;N
1894;CAI;Corendon Airlines;Turkey;Y
1895;CRA;Coronado Aerolineas;Colombia;N
1896;CPB;Corpac Canada;Canada;N
1897;CNC;Corporacion Aereo Cencor;Mexico;N
1898;CPG;Corporacion Aeroangeles;Mexico;N
1899;CGY;Corporacion Paraguaya De Aeronautica;Paraguay;N
1900;CPT;Corporate Air;United States;N
1901;CPR;Corporate Air;United States;N
1902;CPO;Corporate Aircraft Company;United States;N
1903;COO;Corporate Airlink;Canada;N
1904;CKE;Corporate Aviation Services;United States;N
1905;VHT;Corporate Flight International;United States;N
1906;VTE;Corporate Flight Management;United States;N
1907;CJI;Corporate Jets;United States;N
1908;CRL;Corsairfly;France;Y
1909;CCM;Corse-Mediterranee;France;Y
1910;COZ;Cosmic Air;Nepal;N
1911;CHI;Cougar Helicopters;Canada;N
1912;MGB;Coulson Flying Service;United Kingdom;N
1913;NSW;Country Connection Airlines;Australia;N
1914;CIK;Country International Airlines;Kyrgyzstan;N
1915;CSD;Courier Services;United States;N
1916;CUT;Court Helicopters;South Africa;N
1917;CVL;Coval Air;Canada;N
